2026-06-20 08:40:00 | YAHOOF-FIN | INFO     | 
================================================================================
2026-06-20 08:40:06 | YAHOOF-FIN | WARNING  | AVANTEL | sector='Information Technology' | metrics_dict has 33 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'cost_of_revenue', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'rd_expense', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'unusual_items', 'working_capital']
2026-06-20 08:40:07 | YAHOOF-FIN | WARNING  | AVANTIFEED | sector='Consumer Staples' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:07 | YAHOOF-FIN | WARNING  | AWHCL | sector='Services' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:08 | YAHOOF-FIN | WARNING  | AZAD | sector='Capital Goods' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:09 | YAHOOF-FIN | WARNING  | AZADIND | sector='Materials' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:09 | YAHOOF-FIN | WARNING  | BDL | sector='Defence' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:10 | YAHOOF-FIN | WARNING  | BIOCON | sector='Pharma' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:10 | YAHOOF-FIN | WARNING  | BLACKBOX | sector='IT' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:11 | YAHOOF-FIN | WARNING  | CAPITALNUM | sector='IT' | metrics_dict has 32 keys: ['accounts_receivable', 'basic_eps', 'basic_shares', 'capex', 'capital_lease_obligations', 'cash_and_equivalents', 'depreciation', 'diluted_eps', 'diluted_shares', 'ebit', 'ebitda', 'free_cash_flow', 'gross_profit', 'interest_expense', 'invested_capital', 'long_term_debt', 'minority_interest', 'net_debt', 'net_profit', 'net_tangible_assets', 'normalized_income', 'operating_cash_flow', 'operating_income', 'revenue', 'shares_outstanding', 'short_term_debt', 'tax_rate', 'total_capitalization', 'total_debt', 'total_liabilities', 'unusual_items', 'working_capital']
2026-06-20 08:40:11 | YAHOOF-FIN | INFO     |   Progress: 20/127...
