2026-05-23 07:35:18,272 | INFO     | market_data.processor | process         | ✓ AVANTIFEED complete
2026-05-23 07:35:18,272 | INFO     | market_data.processor | process         | Progress: 11/97 (11.3%) - Current: AZAD
2026-05-23 07:35:18,272 | DEBUG    | market_data.transformation | transform       | Transforming AZAD
2026-05-23 07:35:18,272 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [AZAD]
2026-05-23 07:35:18,272 | INFO     | market_data.signals  | generate_signal | [AZAD] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | ✓ AZAD complete
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | Progress: 12/97 (12.4%) - Current: AZADIND
2026-05-23 07:35:18,276 | DEBUG    | market_data.transformation | transform       | Transforming AZADIND
2026-05-23 07:35:18,276 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [AZADIND]
2026-05-23 07:35:18,276 | INFO     | market_data.signals  | generate_signal | [AZADIND] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | ✓ AZADIND complete
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | Progress: 13/97 (13.4%) - Current: BDL
2026-05-23 07:35:18,276 | DEBUG    | market_data.transformation | transform       | Transforming BDL
2026-05-23 07:35:18,276 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [BDL]
2026-05-23 07:35:18,276 | INFO     | market_data.signals  | generate_signal | [BDL] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | ✓ BDL complete
2026-05-23 07:35:18,276 | INFO     | market_data.processor | process         | Progress: 14/97 (14.4%) - Current: BIOCON
2026-05-23 07:35:18,276 | DEBUG    | market_data.transformation | transform       | Transforming BIOCON
2026-05-23 07:35:18,277 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [BIOCON]
2026-05-23 07:35:18,277 | INFO     | market_data.signals  | generate_signal | [BIOCON] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | ✓ BIOCON complete
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | Progress: 15/97 (15.5%) - Current: BLACKBOX
2026-05-23 07:35:18,277 | DEBUG    | market_data.transformation | transform       | Transforming BLACKBOX
2026-05-23 07:35:18,277 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [BLACKBOX]
2026-05-23 07:35:18,277 | INFO     | market_data.signals  | generate_signal | [BLACKBOX] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,277 | WARNING  | market_data.rejections | reject          | [FIELD] BLACKBOX:ratios.debtToEquity (balance) - D/E ratio outside bounds (0-100): 114.749
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | ✓ BLACKBOX complete
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | Progress: 16/97 (16.5%) - Current: CAPITALNUM
2026-05-23 07:35:18,277 | DEBUG    | market_data.transformation | transform       | Transforming CAPITALNUM
2026-05-23 07:35:18,277 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [CAPITALNUM]
2026-05-23 07:35:18,277 | INFO     | market_data.signals  | generate_signal | [CAPITALNUM] Signal: HOLD (score: 45.50, sector: Industrials)
