2026-05-17 01:59:43 | STEP1-FETCH | INFO     |   [CapEx Screener] CAPITALNUM: trying https://www.screener.in/api/v2/companies/cninfotech/financials/cash-flow/
2026-05-17 01:59:44 | STEP1-FETCH | INFO     |   [CapEx Screener] CAPITALNUM: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:45 | STEP1-FETCH | INFO     |   [CapEx Screener] CDSL: trying https://www.screener.in/api/v2/companies/cdsl/financials/cash-flow/
2026-05-17 01:59:45 | STEP1-FETCH | INFO     |   [CapEx Screener] CDSL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:46 | STEP1-FETCH | INFO     |   [CapEx Screener] CELLO: trying https://www.screener.in/api/v2/companies/cello/financials/cash-flow/
2026-05-17 01:59:46 | STEP1-FETCH | INFO     |   [CapEx Screener] CELLO: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:47 | STEP1-FETCH | INFO     |   [CapEx Screener] CIGNITITEC: trying https://www.screener.in/api/v2/companies/cignititec/financials/cash-flow/
2026-05-17 01:59:48 | STEP1-FETCH | INFO     |   [CapEx Screener] CIGNITITEC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:48 | STEP1-FETCH | INFO     |   [CapEx Screener] COCHINSHIP: trying https://www.screener.in/api/v2/companies/cochinship/financials/cash-flow/
2026-05-17 01:59:49 | STEP1-FETCH | INFO     |   [CapEx Screener] COCHINSHIP: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:49 | STEP1-FETCH | INFO     |   Progress: 20/99...
2026-05-17 01:59:49 | STEP1-FETCH | INFO     |   [CapEx Screener] COFORGE: trying https://www.screener.in/api/v2/companies/coforge/financials/cash-flow/
2026-05-17 01:59:50 | STEP1-FETCH | INFO     |   [CapEx Screener] COFORGE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:51 | STEP1-FETCH | INFO     |   [CapEx Screener] DATAMATICS: trying https://www.screener.in/api/v2/companies/datamatics/financials/cash-flow/
2026-05-17 01:59:51 | STEP1-FETCH | INFO     |   [CapEx Screener] DATAMATICS: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:52 | STEP1-FETCH | INFO     |   [CapEx Screener] DATAPATTNS: trying https://www.screener.in/api/v2/companies/datapattns/financials/cash-flow/
2026-05-17 01:59:52 | STEP1-FETCH | INFO     |   [CapEx Screener] DATAPATTNS: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:54 | STEP1-FETCH | INFO     |   [CapEx Screener] ENGINERSIN: trying https://www.screener.in/api/v2/companies/enginersin/financials/cash-flow/
2026-05-17 01:59:54 | STEP1-FETCH | INFO     |   [CapEx Screener] ENGINERSIN: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:55 | STEP1-FETCH | INFO     |   [CapEx Screener] FINCABLES: trying https://www.screener.in/api/v2/companies/fincables/financials/cash-flow/
2026-05-17 01:59:55 | STEP1-FETCH | INFO     |   [CapEx Screener] FINCABLES: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:56 | STEP1-FETCH | INFO     |   [CapEx Screener] GESHIP: trying https://www.screener.in/api/v2/companies/geship/financials/cash-flow/
2026-05-17 01:59:57 | STEP1-FETCH | INFO     |   [CapEx Screener] GESHIP: request failed - 404 Client Error: Not Found for url: https://www.screener.in
